# Symbol CRCs demanded by the stock Motorola Razr Fold vendor_dlkm modules.
# Extracted from the __versions section of all 328 modules of MMI-W3WB36.36-48-5.
# A module loads only if a provider exports the symbol with exactly this CRC, so every
# row whose provider is 'vmlinux' is a hard constraint on the kernel we build.
# provider: vmlinux = the stock kernel exports it
#           module  = another vendor module exports it
#           unknown = neither (the stock kernel lacks it too, so not a regression)
# columns: crc<TAB>symbol<TAB>provider<TAB>importer-count<TAB>example-importers
0x02570517	cfg80211_report_obss_beacon_khz	module	1	mac80211.ko
0x6e7b641e	cfg80211_report_wowlan_wakeup	module	1	mac80211.ko
0xd696766f	cfg80211_roamed	module	1	qca_cld3_peach_v2.ko
0xde02c4c5	cfg80211_rx_assoc_resp	module	1	mac80211.ko
0x1afcc673	cfg80211_rx_control_port	module	1	mac80211.ko
0xb102330a	cfg80211_rx_mgmt_ext	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0x0d8be454	cfg80211_rx_mlme_mgmt	module	1	mac80211.ko
0xcec2e808	cfg80211_rx_spurious_frame	module	1	mac80211.ko
0xcec2e808	cfg80211_rx_unexpected_4addr_frame	module	1	mac80211.ko
0xfac63342	cfg80211_rx_unprot_mlme_mgmt	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0x2db12b4a	cfg80211_scan_done	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0xddd23172	cfg80211_sched_scan_results	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0xddd23172	cfg80211_sched_scan_stopped_locked	module	1	mac80211.ko
0xb118ec41	cfg80211_schedule_channels_check	module	1	mac80211.ko
0x71aef36e	cfg80211_send_layer2_update	module	1	mac80211.ko
0x27c25465	cfg80211_shutdown_all_interfaces	module	1	mac80211.ko
0xbb2e59fc	cfg80211_sinfo_alloc_tid_stats	module	1	mac80211.ko
0xafc87da1	cfg80211_sta_opmode_change_notify	module	1	mac80211.ko
0x225af2d1	cfg80211_stop_iface	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0xb48b6a1d	cfg80211_tdls_oper_request	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0x6e740279	cfg80211_tx_mgmt_expired	module	1	mac80211.ko
0xfd172dc6	cfg80211_tx_mlme_mgmt	module	1	mac80211.ko
0xf8c7e162	cfg80211_unlink_bss	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0x11058fab	cfg80211_unregister_wdev	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0x37a1dca7	cfg80211_update_owe_info_event	module	1	qca_cld3_peach_v2.ko
0x3527275d	cfg80211_vendor_cmd_get_sender	module	1	qca_cld3_peach_v2.ko
0x30183edf	cfg80211_vendor_cmd_reply	module	2	qca_cld3_peach_v2.ko,wonder.ko
0xaf5c4bc1	cld80211_get_genl_family	module	1	qca_cld3_peach_v2.ko
0xbefb549e	cnss_athdiag_read	module	1	qca_cld3_peach_v2.ko
0xb554d8e2	cnss_athdiag_write	module	1	qca_cld3_peach_v2.ko
0x08cd7e37	cnss_audio_is_direct_link_supported	module	1	qca_cld3_peach_v2.ko
0xcbfa3fc1	cnss_audio_smmu_map	module	1	qca_cld3_peach_v2.ko
0xee8446d5	cnss_audio_smmu_unmap	module	1	qca_cld3_peach_v2.ko
0x2d4a277f	cnss_auto_resume	module	1	qca_cld3_peach_v2.ko
0x2d4a277f	cnss_auto_suspend	module	1	qca_cld3_peach_v2.ko
0xd272d446	cnss_deinitialize_prealloc_pool	module	2	cnss2.ko,icnss2.ko
